id,question,context_1,context_2,answer
1,"gemiddeld","Deze opleiding heeft gemiddeld 60 studenten per jaar.","De temperatuur in Nederland is gemiddeld 15 graden.","average;on average"
2,"vervelend","Ik vind het vervelend als de koffie op is.","Doe eens niet zo vervelend.","annoying"
3,"algemeen","Dat is niet algemeen bekend.","Over het algemeen ben ik hier heel goed in.","general"
4,"matig","De burger smaakte een beetje matig.","Ik ben matig enthousiast over deze activiteit.","mediocre"
5,"verwachten","Ze verwachten dat het morgen gaat regenen.","Wij verwachten dat jij het goed gaat doen.","expect;to expect"
6,"vergeten","Ben je nou alweer je sleutel vergeten?","Sorry, we waren vergeten de wiki aan te passen.","forget;to forget;forgot"
7,"onderdeel","Ik mis een onderdeel van mijn IKEA kast.","Deze opleiding is een onderdeel van de Rijksuniversiteit Groningen.","part;part of"
8,"meningen", "Politici hebben altijd veel meningen.", "Ik heb verschillende meningen over dit onderwerp.", "opinions"
9,"alternatief", "Ik vind thee geen goed alternatief voor koffie.", "Ik heb een alternatief voorstel.", "alternative"
10,"woordenschat", "Ik heb een goede woordenschat.", "Een boek lezen doet wonderen voor je woordenschat.", "vocabulary"
11, "betreffen", "Het betreft een vrouw.", "Die vraag betreft hem ook.", "concern;to concern"
12, "dreigen", "Het dreigt te gaan regenen.", "De directeur dreigt met onstlag.", "threaten;to threaten"
13, "voldoende", "Ik heb voldoende tijd.", "Verderop is er voldoende ruimte.", "sufficient;enough"
14, "beseffen", "Ik besef dat ik het fout heb gedaan.", "Ik heb niet beseft dat het zo laat was.", "realize;to realize"
15, "uitnodigen", "Ik wil je graag uitnodigen voor mijn verjaardag.", "Ze nodigen elke kunstenaar uit voor de expositie.", "invite;to invite"
16, "behoefte", "Ik heb behoefte aan avondeten.", "Kinderen hebben behoefte aan veiligheid.", "need"
17, "bewaren", "Ik vind het fijn om al mijn bonnetjes in een map te bewaren.", "Hoe lang kun je deze kaas bewaren?", "keep;to keep"
18, "fluisteren", "Fluisteren in het openbaar is niet beleefd.", "Ik kon ze vanuit mijn tent horen fluisteren.", "whisper;to whisper"
19, "vaag", "Ik heb een vaag idee van wat ik wil doen voor mijn scriptie.", "Het plan kwam niet verder dan een vage gedachte.", "vague"
20, "kerel", "Ik ben een gezonde kerel.", "Die kerel blokkeert steeds mijn zicht.", "guy;dude"
21, "woede", "Ik probeer mijn woede te onderdrukken.", "Ik vind woede moeilijk om mee om te gaan.", "rage;anger"
22, "waarschuwen", "Ik ben gekomen om u te waarschuwen.", "Het alarm bestaat om je te waarschuwen voor gevaar.", "warn;to warn"
23, "moed", "Er is veel moed voor nodig om het uit te maken.", "Ik heb de moed niet om het te zeggen.", "courage"
24, "gewoonte", "Ik heb de slechte gewoonte om te laat te komen.", "Het is een goede gewoonte om je handen te wassen voor het eten.", "habit"
25, "verwarring", "De fout op de poster zorgde voor veel verwarring.", "Tegenstrijdige berichten leiden tot verwarring.", "confusion"
26, "vreugde", "Het optreden bracht haar intense vreugde.", "De vreugde van kinderen is aanstekelijk.", "joy"
27, "verwondering", "Kinderen zitten vol verwondering.", "Ik sta vol verwondering naar de sterren te kijken.", "wonder"
28, "scheren", "Ik moet iedere morgen opnieuw de stoppels van mijn gezicht scheren.", "Mijn vader heeft me geleerd hoe ik moet scheren.", "shave;to shave"
29, "blinken", "Nieuwe munten blinken nog.", "De sterren blinken in de nacht.", "shine;to shine;"
30, "kraag", "De kraag van mijn overhemd is te strak.", "Zij greep hem bij de kraag toen hij iets verkeerd deed.", "collar"
31, "ongemakkelijk", "Het was een beetje ongemakkelijk op de dansvloer.", "Ik voel me ongemakkelijk bij dit gesprek.", "awkward"
32, "bijeenkomst", "SNIC is een bijeenkomst met studenten van verschillende opleidingen.", "De bijeenkomst begint om 10 uur.", "meeting;gathering"
33, "eenzaamheid", "Tijdens de pandemie hadden veel studenten last van eenzaamheid.", "Eenzaamheid is een groot probleem onder ouderen.", "loneliness;solitude"
34, "nieuwsgierig", "Ik was vroeger een heel nieuwsgierig kind.", "Ik ben nieuwsgierig naar de resultaten van het onderzoek.", "curious"
35, "spontaan", "Ik vind het leuk om spontaan af te spreken.", "Jij bent heel spontaan, dat is leuk.", "spontaneous"
36, "zelfstandig", "Het is prettig als werknemers zelfstandig kunnen werken.", "Ik vond het in het begin moeilijk om zelfstandig te wonen.", "independent;independently"
37, "tevreden", "Mijn baas was erg tevreden over het resultaat.", "Hij is niet snel tevreden, hij is erg kritisch.", "satisfied"
38, "verschrikkelijk", "Ik vind het verschrikkelijk om voor een groep te spreken.", "Het was een verschrikkelijke dag.", "terrible;awful;horrible;dreadful"
39, "vriendschap", "Deze vriendschap is erg belangrijk voor mij.", "Een vriendschap moet onderhouden worden.", "friendship"
40, "beschrijven", "Het is lastig om de smaak van een gerecht te beschrijven.", "Kun je proberen je gevoelens te beschrijven?", "describe;to describe"
41, "begroeten", "Wij begroeten elkaar altijd als we thuis komen.", "Wat is de beste manier om een kennis te begroeten?", "greet;to greet"
42, "overdrijven", "Sommige mensen vinden het leuk om te overdrijven, ik vind het verwarrend.", "Je moet niet overdrijven, het is niet zo erg.", "exaggerate;to exaggerate"
43, "onverschillig", "Ik ben onverschillig tegenover de mening van anderen.", "Ze leek heel onverschillig, maar dat viel uiteindelijk mee.", "indifferent"
44, "vergeven", "Ik heb het haar vergeven, maar ik vergeet het niet.", "Kun je het me vergeven?", "forgive;to forgive"
45, "vragenlijst", "De vragenlijst is bedoeld om de mening van de studenten te peilen.", "De vragenlijst is anoniem.", "questionnaire"
